Unit ID:,1,,,,,,,,,,,,,
User ID:,,,,,,,,,,,,,,
Site:,PFC,,,,,,,,,,,,,
Log Interval:,0.25,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Model, Submodel, S/N, S/W Ver,,,,,,,,,,,
Handheld,2, 17F105819,1.0.18,,,,,,,,,,,
5P Sonde,4, 17G100162,1.0.35,,,,,,,,,,,
CT,1, 17F102078,3.0.5,,,,,,,,,,,
ODO,1, 17D108766,3.0.0,,,,,,,,,,,
TAL-PC,1, 18E100678,3.0.0,,,,,,,,,,,
pH/ORP,1, 18E103391,3.0.0,,,,,,,,,,,
Turbidity,1, 18E100545,3.0.0,,,,,,,,,,,
Depth,2, 17F104892,3.0.0,,,,,,,,,,,
,,,,,,,,,,,,,,
Date,Time,°C,mmHg,DO %,DO mg/L,C-uS/cm,pH,ORP mV,FNU,BGA-PC RFU,BGA-PC ug/L,Chl RFU,Chl ug/L,DEP m
8/3/2018,10:38.0,27.153,741.5,124.7,9.91,76.9,8.32,123.5,0.87,0,0,0,0,0.239
8/3/2018,10:38.3,27.152,741.5,124.7,9.91,76.9,8.31,123.6,0.86,0,0,0,0,0.239
8/3/2018,10:38.5,27.151,741.5,124.7,9.91,76.9,8.31,123.6,0.86,0,0,0,0,0.239
8/3/2018,10:38.8,27.15,741.5,124.7,9.91,76.9,8.31,123.6,0.86,0,0,0,0,0.238
8/3/2018,10:39.0,27.15,741.5,124.7,9.91,76.9,8.31,123.6,0.86,0,0,0,0,0.238
8/3/2018,10:39.2,27.15,741.5,124.7,9.91,76.9,8.31,123.6,0.86,0,0,0,0,0.238
8/3/2018,10:39.5,27.149,741.5,124.7,9.91,76.9,8.31,123.6,0.86,0,0,0,0,0.238
8/3/2018,10:39.8,27.147,741.5,124.6,9.91,76.9,8.31,123.7,0.86,0,0,0,0,0.238
8/3/2018,10:40.0,27.147,741.5,124.6,9.91,76.9,8.31,123.7,0.86,0,0,0,0,0.238
8/3/2018,10:40.3,27.145,741.5,124.6,9.9,76.9,8.31,123.7,0.86,0,0,0,0,0.238
8/3/2018,10:40.5,27.145,741.5,124.6,9.9,76.9,8.31,123.7,0.86,0,0,0,0,0.238
8/3/2018,10:40.8,27.143,741.5,124.6,9.91,76.9,8.31,123.8,0.86,0,0,0,0,0.238
8/3/2018,10:41.0,27.143,741.5,124.6,9.91,76.9,8.31,123.8,0.86,0,0,0,0,0.238
8/3/2018,10:41.2,27.141,741.5,124.6,9.91,76.9,8.3,123.8,0.86,0,0,0,0,0.237
8/3/2018,10:41.5,27.141,741.5,124.6,9.91,76.9,8.3,123.8,0.86,0,0,0,0,0.237
8/3/2018,10:41.7,27.138,741.5,124.7,9.91,76.9,8.3,123.8,0.86,0,0,0,0,0.237
8/3/2018,10:42.0,27.138,741.5,124.7,9.91,76.9,8.3,123.8,0.86,0,0,0,0,0.237
