MULakeNumber,Lake name,Date,Time,Parameter,SecchiDepth_m,Comments
87,Brookfield,6/22/2023,3:12:00 PM,Secchi ,1.2,
121,Higginsville,6/22/2023,9:21:00 AM,Secchi,0.6,
121,Higginsville,6/22/2023,9:21:00 AM,Secchi ,0.53,
45,Nehai Tonkayea,6/22/2023,4:33:00 PM,Secchi,2.74,
45,Nehai Tonkayea,6/22/2023,4:33:00 PM,Secchi ,2.56,
72,Smithville,6/22/2023,12:00:00 PM,Secchi,1.8,
72,Smithville,6/22/2023,12:00:00 PM,Secchi ,1.7,
74,Watkins Mill,6/22/2023,11:15:00 AM,Secchi,1.13,
74,Watkins Mill,6/22/2023,11:15:00 AM,Secchi ,1.05,
455,West Arrowhead,6/22/2023,12:30:00 PM,Secchi,0.8,
455,West arrowhead,6/22/2023,12:30:00 PM,Secchi ,0.74,
98,Table Rock,6/23/2023,12:30:00 PM,Secchi,2.8,
98,Table Rock,6/23/2023,12:30:00 PM,Secchi ,2.7,
3,Bowling Green ,6/26/2023,10:30:00 AM,Secchi,1.6,
3,Bowling Green ,6/26/2023,10:30:00 AM,Secchi ,1.8,
454,Cedar Hill Lakes 1,6/26/2023,3:22:00 PM,Secchi,0.9,
454,Cedar Hill Lakes 1,6/26/2023,3:22:00 PM,Secchi ,0.85,
5,Lincoln,6/26/2023,11:55:00 AM,Secchi,2.6,
5,Lincoln,6/26/2023,11:55:00 AM,Secchi ,2.8,
145,Mark Twain ,6/26/2023,10:00:00 AM,Secchi,1.8,
145,Mark Twain ,6/26/2023,10:00:00 AM,Secchi ,1.7,
197,Prarie,6/26/2023,1:24:00 PM,Secchi,1.2,
197,Prarie,6/26/2023,1:24:00 PM,Secchi ,1.3,
14,Tishomingo,6/26/2023,4:42:00 PM,Secchi,3.01,
14,Tishomingo,6/26/2023,4:42:00 PM,Secchi ,3,
18,Capri,6/27/2023,9:45:00 AM,Secchi,4.5,
18,Capri,6/27/2023,9:45:00 AM,Secchi ,4.2,
186,Carl Disalvo,6/27/2023,12:08:00 PM,Secchi,0.5,
186,Carl Disalvo,6/27/2023,12:08:00 PM,Secchi ,0.4,
36,Clearwater,6/27/2023,2:55:00 PM,Secchi,1.6,
36,Clearwater,6/27/2023,2:55:00 PM,Secchi ,1.4,
21,Goose Creek ,6/27/2023,7:32:00 AM,Secchi,3,
21,Goose Creek ,6/27/2023,7:32:00 AM,Secchi ,3.1,
149,Lake of the Ozarks (LOTO) ,6/27/2023,10:11:00 AM,Secchi,2.6,Time not written of field sheet. Time taken from YSI profile.
149,Lake of the Ozarks (LOTO) ,6/27/2023,10:11:00 AM,Secchi ,2.5,Time not written of field sheet. Time taken from YSI profile.
112,Shayne,6/27/2023,10:42:00 AM,Secchi,4.1,
112,Shayne,6/27/2023,10:42:00 AM,Secchi ,3.9,
30,Wappapello ,6/27/2023,5:35:00 PM,Secchi,0.4,
