MULakeNumber,waterBody,waterBodyLatitude,waterBodyLongitude,site_latitude,site_longitude
304,Robin Hood,38.674,-90.9874,NA,NA
305,Scheffborg,38.786,-91.0583,NA,NA
306,Simpson,38.5581,-90.4639,NA,NA
307,St. Gallen,38.75,-91.0301,NA,NA
308,Stephens,38.9511,-92.3085,38.95068522978462,-92.30708699314987
309,Sugar Hollow,38.6714,-90.9777,NA,NA
310,Treeline,38.1933,-92.7351,NA,NA
311,Troost,39.0754,-94.5646,NA,NA
312,Trophy,38.7742,-91.0274,NA,NA
313,Wanderfern,38.7671,-91.0729,NA,NA
314,Waterworks,39.4162,-92.4646,NA,NA
315,Whippoorwill,38.7654,-91.0339,NA,NA
316,Wood,38.9956,-92.2153,NA,NA
318,Apollo,37.8158,-90.491,NA,NA
320,Quarry Heights,38.9413,-92.3448,NA,NA
322,Whitecliff,38.5561,-90.3688,NA,NA
323,Wyandote,39.1679,-94.7786,NA,NA
402,Flat Creek,36.6595,-93.8868,NA,NA
403,Mallard,38.7024,-90.4946,NA,NA
404,Novus,38.7094,-90.6817,NA,NA
405,Pierson,39.0679,-94.7119,NA,NA
406,Riss,39.2005,-94.6767,NA,NA
407,Roaring River,36.555,-93.7699,NA,NA
408,Big Eleven,39.1182,-94.6368,NA,NA
409,Carondelet Boathouse,38.5624,-90.2666,NA,NA
410,Caswell,38.8966,-92.3512,NA,NA
411,Cedar,38.8966,-92.3512,38.8955147113538,-92.35311994103114
412,Barry Harbor,39.2428,-94.6045,NA,NA
413,Jaycee,38.5625,-92.2684,NA,NA
414,Crowder,40.0959,-93.6606,NA,NA
415,Ethel,39.8872,-92.7527,NA,NA
416,Leisure (Grundy Co),40.1104,-93.7273,NA,NA
417,Middle Fork Water,40.2886,-94.4329,NA,NA
418,Bass,38.8391,-91.7668,NA,NA
419,Butterfly,37.788,-90.9259,NA,NA
420,Daizy Valley,38.4743,-91.3901,38.47442768602583,-91.39038790660251
421,Leisure (Callaway Co),38.8978,-91.8209,NA,NA
422,Lochaweeno,38.8285,-91.7632,NA,NA
423,Port Hudson,38.4735,-91.2678,38.47343010623239,-91.26764941188536
424,Iron Mountain,37.693,-90.6225,NA,NA
425,Kellogg,37.1875,-94.2934,NA,NA
426,Potosi,37.8823,-90.6806,NA,NA
427,Primrose,37.9927,-90.5628,NA,NA
428,Sayersbrook,37.9867,-90.9259,NA,NA
429,Wahoo,38.0012,-90.5468,NA,NA
430,Bluestem,38.8715,-94.3244,NA,NA
431,Bodarc,38.8708,-94.3167,NA,NA
432,Harrisonville City,38.6645,-94.3391,38.66446086582693,-94.33905546255907
433,Luna,38.6616,-94.3462,38.66198867339638,-94.34587841893766
434,Sever Lake North,40.2556,-92.1485,NA,NA
435,Hurdland Severs,40.1121,-92.294,NA,NA
436,Finger Lake,39.0872,-92.3157,NA,NA
437,Thunderbird (Lower),38.8068,-91.8085,NA,NA
438,Bethel,38.9012,-92.3421,38.90141151445699,-92.34237572578408
439,Cheney,37.7266,-97.7933,NA,NA
440,Crow Pond,38.8938,-91.7372,38.893720675849536,-91.73739358606211
441,Montauk,37.4579,-91.6847,NA,NA
442,Callaway Fork,38.6824,-90.845,NA,NA
443,Spanish,38.8005,-90.2035,NA,NA
444,Cole,38.0193,-90.567,NA,NA
445,Rock Lake Village,38.8853,-94.0729,NA,NA
446,Sakatah,44.2229,-93.5625,NA,NA
447,Black Hawk,42.3036,-95.0393,NA,NA
448,Riata,38.4698,-91.4061,NA,NA
449,Pleasant Hill,38.8223,-94.2962,NA,NA
450,Marion,38.3675,-90.7568,NA,NA
451,Serene,38.4132,-90.7849,NA,NA
452,Katy,38.9199,-92.3952,NA,NA
453,Lafayette Park,38.6156,-90.216,NA,NA
454,Cedar Hill (Lake 1),38.3337,-90.6549,38.333799385263326,-90.6544906366229
455,West Arrowhead,39.4848,-94.3117,39.476677545326154,-94.31687956301931
456,Timberland,37.9178,-93.97,NA,NA
457,OFallon Park,38.6792,-90.2194,NA,NA
458,Crystal (Morgan),38.3942,-92.9464,NA,NA
459,Fon du Lac,38.4898,-90.4693,NA,NA
460,Houston,39.1904,-94.6185,NA,NA
461,See Tal,38.6881,-91.4368,NA,NA
462,Tilles Park,38.6222,-90.3636,NA,NA
463,McKee Pond,38.671,-92.2592,NA,NA
464,Cedar (Randolph),39.3925,-92.4234,NA,NA
465,McKee Prairie,38.8375,-94.2319,NA,NA
